"sex","age","statebrn","placebrn","marstat","edyrs","occ","usyrl","usdurl","usdocl","usstatel","usplacel","usmarl","usoccl","uswagel","usbyl","ustrips","reltrip","paistrip","sport","social","chicanos","blacks","asians","anglos","latinos","lodging","english","enghome","engwork","engfrnd","engneig","finhelp","bankacct","card","taxes","consular","rent","food","remit","remit1","remit2","remit3","remit4","remit5","savings","savings1","savings2","savings3","savings4","savings5","schools","unemp","foodst","welfare","afdc","wic","ssi","general","doctor","hospital","hlthpmt1","hlthpmt2","hlthpmt3","hlthpmt4","class"
1,40,11,0,2,2,410,1978,7,8,105,7320,NA,410,NA,NA,3,2,1,2,2,2,2,NA,2,2,1,0,NA,NA,NA,NA,2,2,NA,NA,NA,100,150,NA,11,8888,8888,8888,8888,0,8,11,8888,8888,8888,2,2,2,2,NA,NA,NA,NA,2,2,8888,NA,NA,NA,2
2,51,11,0,4,1,719,1985,12,8,114,1600,NA,20,8888,8888,2,2,1,2,2,2,2,NA,2,2,4,0,NA,NA,NA,NA,4,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2
1,40,11,0,2,3,410,1976,48,8,105,2840,NA,810,2.5,1,1,2,1,2,1,2,2,NA,2,2,3,0,NA,NA,NA,NA,6,2,NA,NA,NA,0,0,100,16,8888,8888,8888,8888,0,12,8,8888,8888,8888,2,2,2,2,NA,NA,NA,NA,2,2,8888,NA,NA,NA,2
1,23,11,20,2,0,522,1985,9,8,136,NA,NA,410,4.5,1,1,2,1,2,2,1,2,NA,1,2,4,1,NA,NA,NA,NA,4,1,NA,NA,NA,100,80,300,11,8888,8888,8888,8888,100,8,11,8888,8888,8888,2,2,2,2,NA,NA,NA,NA,2,2,8888,NA,NA,NA,2
1,37,11,0,2,4,529,1977,36,8,105,NA,NA,410,1.67,1,2,2,1,2,2,2,2,NA,2,1,4,1,NA,NA,NA,NA,4,2,NA,NA,NA,125,150,200,11,8888,8888,8888,8888,55,6,9,8888,8888,8888,2,1,1,2,NA,NA,NA,NA,1,1,1,NA,NA,NA,2
1,77,11,0,4,0,410,1966,6,8,144,NA,NA,410,0.25,1,2,2,1,2,2,1,2,NA,2,2,3,0,NA,NA,NA,NA,3,2,NA,NA,NA,0,0,NA,11,8888,8888,8888,8888,0,8,11,8888,8888,8888,2,2,2,2,NA,NA,NA,NA,2,2,8888,NA,NA,NA,2
1,63,11,0,2,3,410,1956,1,8,144,NA,NA,410,NA,NA,2,2,2,2,2,2,1,NA,1,1,2,0,NA,NA,NA,NA,1,2,NA,NA,NA,NA,NA,20,2,8888,8888,8888,8888,NA,5,8888,8888,8888,8888,2,2,2,2,NA,NA,NA,NA,2,2,8888,NA,NA,NA,2
1,43,11,0,2,3,410,1966,24,8,105,4480,NA,410,NA,NA,1,1,1,2,2,1,1,NA,1,1,3,0,NA,NA,NA,NA,3,2,NA,NA,NA,NA,40,100,11,8888,8888,8888,8888,100,2,8888,8888,8888,8888,1,2,2,2,NA,NA,NA,NA,2,2,8888,NA,NA,NA,2
1,34,11,0,2,6,410,1986,6,8,105,4480,NA,410,NA,NA,2,1,1,2,2,2,2,NA,1,1,4,1,NA,NA,NA,NA,4,2,NA,NA,NA,NA,NA,150,4,8888,8888,8888,8888,NA,9,8888,8888,8888,8888,2,2,2,2,NA,NA,NA,NA,1,1,4,NA,NA,NA,2
1,51,11,0,2,0,410,1970,3,8,105,7400,NA,410,NA,NA,1,2,1,2,1,1,1,NA,1,1,3,0,NA,NA,NA,NA,3,2,NA,NA,NA,NA,NA,NA,5,8888,8888,8888,8888,NA,8,8888,8888,8888,8888,2,2,2,2,NA,NA,NA,NA,2,2,8888,NA,NA,NA,2
1,63,11,0,2,3,410,1986,3,5,105,4480,NA,NA,NA,NA,1,1,2,2,2,2,1,NA,1,1,4,0,NA,NA,NA,NA,4,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2
1,26,11,0,2,6,810,1985,12,8,105,7485,NA,810,3.75,1,1,1,1,2,2,1,2,NA,1,1,4,3,NA,NA,NA,NA,4,2,NA,NA,NA,100,30,0,8888,8888,8888,8888,8888,30,9,8888,8888,8888,8888,2,2,2,2,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,2
1,59,11,0,2,0,410,1950,2,2,114,1600,NA,549,NA,NA,1,2,1,2,2,1,1,NA,1,1,3,0,NA,NA,NA,NA,3,2,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,2,2,NA,NA,NA,NA,2,2,8888,NA,NA,NA,2
1,37,11,0,2,2,719,1970,12,8,105,8735,NA,549,3,1,1,2,1,2,2,1,2,NA,2,1,1,0,NA,NA,NA,NA,2,2,NA,NA,NA,NA,NA,50,11,8888,8888,8888,8888,NA,NA,NA,NA,NA,NA,2,2,2,2,NA,NA,NA,NA,2,2,8888,NA,NA,NA,2
1,45,11,0,2,1,410,1981,24,8,144,7777,NA,410,NA,NA,3,2,1,2,2,2,2,NA,2,1,4,0,NA,NA,NA,NA,4,2,NA,NA,NA,300,400,NA,3,8888,8888,8888,8888,NA,3,8888,8888,8888,8888,2,2,1,2,NA,NA,NA,NA,1,1,4,NA,NA,NA,2
1,74,11,0,2,0,410,1982,4,8,105,NA,NA,410,5,1,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,8,50,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,2,2,NA,NA,NA,NA,2,2,8888,NA,NA,NA,2
1,59,11,25,2,0,549,1977,6,8,106,2080,NA,410,NA,NA,2,2,1,2,2,2,2,NA,2,2,3,0,NA,NA,NA,NA,6,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,8888,8888,8888,8888,2,2,2,2,NA,NA,NA,NA,2,2,8888,NA,NA,NA,2
1,73,11,0,2,0,719,1954,12,2,105,NA,NA,410,NA,NA,1,2,1,2,2,2,2,NA,2,2,3,0,NA,NA,NA,NA,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,8888,8888,8888,8888,2,2,2,2,NA,NA,NA,NA,2,2,8888,NA,NA,NA,2
1,54,11,25,2,4,524,1953,1,2,144,NA,NA,410,NA,NA,1,2,2,2,2,2,2,NA,2,2,3,0,NA,NA,NA,NA,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11,8888,8888,8888,8888,2,2,2,2,NA,NA,NA,NA,2,2,8888,NA,NA,NA,2
